County,Median_Income_x,Age-Adjusted Incidence Rate,Average Annual Count,Age-Adjusted Death Rate,Average Deaths per Year
"Racine County, Wisconsin",60935.0,69.5,153,47.5,104
"Raleigh County, West Virginia",33636.0,81,86,59.8,64
"Ralls County, Missouri",49236.0,67,9,65.7,9
"Ramsey County, North Dakota",40580.5,73.7,11,53.2,8
"Randolph County, Alabama",33446.0,75.5,24,58.5,18
"Randolph County, Arkansas",22527.0,83.9,21,69.9,18
"Randolph County, West Virginia",33994.0,63.3,27,50.7,20
"Rankin County, Mississippi",36012.0,76.4,111,46.9,67
"Ransom County, North Dakota",52946.0,67.9,6,55.3,5
"Rapides Parish, Louisiana",27941.0,68.9,103,53.7,81
"Ravalli County, Montana",20005.0,48.9,31,33,21
"Ray County, Missouri",39687.75,92.8,27,77.3,22
"Red River County, Texas",23174.0,67,14,51.5,11
"Red River Parish, Louisiana",56091.0,57.9,6,39.4,4
"Reeves County, Texas",31920.0,35.8,5,23.6,3
"Refugio County, Texas",34375.0,79.8,9,69.5,8
"Rensselaer County, New York",64438.0,84,157,58.4,109
"Reynolds County, Missouri",27064.5,68.4,7,59.6,6
"Rhea County, Tennessee",26763.0,99,41,77.5,31
"Richland County, Illinois",37112.0,81.6,19,56.7,13
"Richland County, South Carolina",61071.0,70.1,242,49.3,167
"Richmond County, Georgia",39414.0,72.7,148,56.8,113
"Ringgold County, Iowa",36559.0,46.1,4,41.2,4
"Rio Arriba County, New Mexico",42781.0,34.8,16,30.3,14
"Rio Grande County, Colorado",6808.0,29.2,5,21,3
"Ritchie County, West Virginia",35180.0,105.7,16,81.5,12
"Riverside County, California",59864.5,47.2,1031,37.1,808
"Robertson County, Tennessee",49438.0,83.2,59,65.1,45
"Robeson County, North Carolina",25754.5,69.2,95,58.4,79
"Rock County, Wisconsin",50259.0,74.9,139,54.5,101
"Rock Island County, Illinois",54698.5,66.8,127,52.4,101
"Rockcastle County, Kentucky",19731.0,118.1,25,89.2,19
"Rockingham County, North Carolina",45792.0,89.9,113,60.2,75
"Rockland County, New York",70996.4,50.2,177,32.9,116
"Rolette County, North Dakota",37788.0,76.5,10,72.2,9
"Roosevelt County, Montana",36771.0,64.2,6,33.7,3
"Rosebud County, Montana",26793.0,56.8,5,39.5,3
"Ross County, Ohio",45702.0,85.2,79,63.9,58
"Routt County, Colorado",47793.0,31.5,6,24.3,4
"Rowan County, North Carolina",41851.5,85.9,144,58.5,98
"Runnels County, Texas",34635.0,61.1,10,49.8,8
"Rush County, Indiana",46710.5,80.8,18,67.5,15
"Rusk County, Texas",48858.333333333336,69.8,43,51.6,33
"Rutland County, Vermont",45196.0,72.6,63,51.3,44
"Sabine County, Texas",22030.0,71.3,16,51.8,11
"Sacramento County, California",83238.5,56.9,793,42.6,595
"Salem County, New Jersey",57807.0,72.8,62,48.1,41
"Saline County, Arkansas",44049.0,73.9,100,52,69
"Saline County, Missouri",35639.75,74.3,22,52.1,16
"Saline County, Nebraska",77502.0,79.5,12,49.8,8
"Salt Lake County, Utah",86035.66666666667,32.1,260,22.1,177
"Sampson County, North Carolina",24399.5,77.7,60,60.4,46
"San Augustine County, Texas",28041.0,73.8,11,65.6,10
"San Bernardino County, California",52047.545454545456,49.5,807,39,625
"San Diego County, California",67637.0,49,1485,36,1097
"San Joaquin County, California",57688.0,56.8,353,44.8,277
"San Juan County, New Mexico",47534.0,44,53,30.1,36
"San Luis Obispo County, California",55486.5,46.9,161,34.7,120
"San Mateo County, California",74953.0,45.3,375,30.4,254
"San Miguel County, New Mexico",93362.5,37.3,14,34.4,12
"San Saba County, Texas",29321.0,60.9,6,51.7,5
"Sandusky County, Ohio",47136.0,69.2,53,56.2,43
"Sangamon County, Illinois",91709.0,77.6,183,54.1,126
"Sanpete County, Utah",59348.0,29.3,8,18.8,5
"Santa Barbara County, California",77557.5,42.1,189,29.3,134
"Santa Clara County, California",101262.66666666667,41.1,705,27.6,472
"Santa Cruz County, Arizona",27728.0,36.1,19,23.1,12
"Santa Cruz County, California",67914.33333333333,37.6,99,28.4,74
"Santa Fe County, New Mexico",44890.5,31.7,59,23,42
"Santa Rosa County, Florida",62563.0,74.9,130,61.6,104
"Sarasota County, Florida",50525.5,57.6,479,41.9,366
"Sarpy County, Nebraska",58495.0,65.1,81,49.9,62
"Sauk County, Wisconsin",48030.0,57.3,44,50,39
"Sawyer County, Wisconsin",33045.0,67.3,18,54.9,15
"Schoharie County, New York",36775.0,65.1,29,44.4,20
"Schuyler County, Missouri",29751.5,64.2,4,70,4
"Schuylkill County, Pennsylvania",48903.0,68.1,144,52.8,114
"Scioto County, Ohio",40705.333333333336,97.8,96,73.2,71
"Scott County, Illinois",41167.0,83.2,6,52.1,4
"Scott County, Iowa",51689.666666666664,72.7,134,53.2,99
"Scott County, Kentucky",31180.0,87.3,37,59.5,24
"Scott County, Missouri",41013.0,99,49,73.8,36
"Scott County, Tennessee",28211.666666666668,109.2,29,94.9,24
"Scott County, Virginia",46659.0,72.1,25,67.2,24
"Screven County, Georgia",23022.5,79.1,15,57,10
"Sebastian County, Arkansas",35698.0,78.2,108,62.1,85
"Seminole County, Oklahoma",32259.0,85.9,29,72.4,24
"Seneca County, New York",46673.0,81.3,37,46.6,21
"Seneca County, Ohio",37530.0,72.1,49,54,38
"Sequoyah County, Oklahoma",38033.0,71.1,38,70.4,37
"Sevier County, Tennessee",49660.0,83.5,99,61.8,72
"Sevier County, Utah",48295.0,30.3,7,21.3,5
"Seward County, Nebraska",57506.5,44.2,9,32.2,7
"Shannon County, Missouri",19914.0,70.3,9,57.8,7
"Shasta County, California",39060.4,62.5,154,48.6,119
"Sheboygan County, Wisconsin",70649.0,60.6,84,45.2,63
"Shelby County, Alabama",47489.666666666664,57.1,108,47.3,88
"Shelby County, Illinois",49003.333333333336,77.1,25,46.9,16
"Shelby County, Indiana",61406.0,81.8,43,56.2,30
"Shelby County, Iowa",43722.0,52.4,10,37,7
"Shelby County, Missouri",31216.5,71.9,7,39.6,3
"Shelby County, Tennessee",108961.0,67.3,587,53.2,457
"Shenandoah County, Virginia",46834.0,67.4,41,54.3,33
"Sheridan County, Wyoming",64759.0,52,20,42,15
"Sierra County, New Mexico",22991.0,55.1,16,49,14
"Simpson County, Mississippi",41031.0,85.9,28,60.5,20
"Sioux County, Iowa",61005.0,43.1,16,33.9,13
"Skagit County, Washington",39390.0,63.1,98,47.1,74
"Smith County, Mississippi",33298.5,61.9,13,65.8,14
"Smith County, Texas",68877.0,67.3,166,47.8,118
"Smyth County, Virginia",27493.0,92,42,79.5,36
"Snohomish County, Washington",72509.0,64.1,433,45,300
"Snyder County, Pennsylvania",44520.0,50.4,25,38.2,19
"Socorro County, New Mexico",11572.0,47.8,10,35.9,7
"Solano County, California",88891.0,58.1,246,44.3,186
"Somerset County, New Jersey",94290.5,48.7,171,35.3,122
"Somerset County, Pennsylvania",57841.0,48.5,56,37.1,43
"Sonoma County, California",56403.75,49.5,288,38.4,223
"Spencer County, Indiana",45483.0,77.9,21,51.3,14
"Spink County, South Dakota",49028.0,48.8,5,46.2,5
"Spokane County, Washington",54392.333333333336,59.8,313,47.2,245
"St. Charles Parish, Louisiana",53592.666666666664,71.2,36,58.8,29
"St. Francis County, Arkansas",38922.0,65.2,20,54.4,16
"St. Francois County, Missouri",34181.0,106.8,82,76.7,59
"St. James Parish, Louisiana",57624.5,58,14,53.3,13
"St. Johns County, Florida",71746.0,65.2,166,42.3,107
"St. Joseph County, Indiana",60289.0,71.5,212,52.2,157
"St. Lawrence County, New York",54225.5,82.4,108,60.3,78
"St. Louis County, Missouri",57197.42857142857,69,854,45.9,574
"St. Lucie County, Florida",25160.0,64.5,277,48.9,213
"St. Martin Parish, Louisiana",36611.0,75.1,42,61.5,34
"St. Mary Parish, Louisiana",40407.0,66.6,40,53.4,33
"St. Tammany Parish, Louisiana",42353.0,67.3,179,51.5,135
"Stanislaus County, California",27144.0,57.4,273,42.1,200
"Stanly County, North Carolina",50956.5,80.4,64,55.8,43
"Stark County, Ohio",43556.0,68.1,338,51.9,258
"Starr County, Texas",23860.285714285714,38.5,20,25.4,13
"Stephenson County, Illinois",47354.5,63.8,43,52.6,36
"Steuben County, Indiana",42149.0,71,31,46.7,20
"Steuben County, New York",51435.5,80,104,60,78
"Stoddard County, Missouri",40753.0,93.4,39,71.2,30
"Stokes County, North Carolina",45724.0,90.6,58,65.5,41
"Stone County, Missouri",46085.0,66.5,39,50,28
"Story County, Iowa",53150.0,56,43,41,32
"Strafford County, New Hampshire",44850.0,75,96,53.3,68
"Stutsman County, North Dakota",60571.0,56.5,17,51.2,16
"Suffolk County, New York",96121.75,69.7,1195,43.8,751
"Sullivan County, Missouri",32801.0,88.6,8,54.6,5
"Sullivan County, New York",54694.5,71.9,71,51.6,51
"Summit County, Colorado",61792.0,14.8,4,21.6,3
"Summit County, Ohio",80282.8,67.2,449,52.3,352
"Summit County, Utah",71109.0,18.2,6,14.4,4
"Sumter County, Alabama",6190.0,55.5,9,51,9
"Sumter County, Georgia",26115.0,63.1,22,48.6,17
"Sumter County, South Carolina",30924.0,72,84,49,57
"Sunflower County, Mississippi",29298.0,65,18,59.8,17
"Surry County, North Carolina",23364.0,82.9,83,67.8,68
"Surry County, Virginia",36660.0,60.9,6,53.7,5
"Susquehanna County, Pennsylvania",40336.0,53.6,35,43.2,27
"Sussex County, Delaware",59193.333333333336,74.2,239,53.1,171
"Sussex County, New Jersey",78443.33333333333,64.2,106,45.2,74
"Sussex County, Virginia",49267.0,90.7,14,69.2,10
"Talbot County, Maryland",53783.0,51.1,34,40,28
"Talladega County, Alabama",41712.0,74,74,61,61
"Tallapoosa County, Alabama",50493.0,70.5,41,54.5,32
"Tama County, Iowa",54417.5,65.3,16,39.3,10
"Taney County, Missouri",29418.0,80.6,58,52.4,38
"Tangipahoa Parish, Louisiana",44838.0,79.3,100,62.4,77
"Taos County, New Mexico",18868.0,35,16,27.5,13
"Tarrant County, Texas",68175.0,60.2,903,44.4,654
"Taylor County, Georgia",28923.0,54.2,6,43.1,5
"Taylor County, Kentucky",27470.0,100.2,32,81.6,26
"Tazewell County, Illinois",48969.333333333336,87.2,151,60.1,104
"Tehama County, California",40412.5,65.2,54,49.9,40
"Terrebonne Parish, Louisiana",47871.0,76.2,86,57.1,64
"Terrell County, Georgia",22024.0,63,8,53.7,6
"Terry County, Texas",43119.0,70.7,10,52.9,8
"Teton County, Montana",60066.0,60.8,6,55.7,5
"Tioga County, New York",55439.5,64.4,44,46.2,31
"Tioga County, Pennsylvania",40906.5,69.6,41,44.5,27
"Tipton County, Indiana",47981.0,73.3,16,43.6,10
"Tipton County, Tennessee",33438.0,94.6,60,74.6,45
"Tishomingo County, Mississippi",22070.0,78.4,22,56.2,16
"Todd County, Kentucky",28681.0,83.1,12,65.1,9
"Tompkins County, New York",79328.0,57.6,54,42.6,40
"Toole County, Montana",43746.0,77.5,5,48.7,3
"Transylvania County, North Carolina",21300.0,53.6,33,37.2,23
"Travis County, Texas",102947.33333333333,44.8,330,32.6,230
"Trempealeau County, Wisconsin",50391.5,57.9,21,47.1,18
"Tulare County, California",31176.333333333332,47.9,174,40.7,145
"Tulsa County, Oklahoma",69900.0,67.1,421,52.6,328
"Tunica County, Mississippi",34512.0,84.2,8,56.6,5
"Turner County, South Dakota",51253.0,56.2,6,35.7,4
"Tuscaloosa County, Alabama",46479.0,72.3,135,54.4,100
"Tuscarawas County, Ohio",35365.0,61,76,45.3,56
"Twin Falls County, Idaho",40808.666666666664,53.4,47,42,37
"Tyler County, Texas",42150.0,72.8,23,60.6,19
"Uinta County, Wyoming",83387.0,31.7,6,22.1,4
"Ulster County, New York",48930.25,71.5,164,48.3,111
"Umatilla County, Oregon",33550.0,58,48,45.1,37
"Unicoi County, Tennessee",23290.0,89.3,25,70.8,20
"Union County, Arkansas",32937.0,89,46,71.6,38
"Union County, Illinois",34614.0,102.7,26,74.4,18
"Union County, New Jersey",115335.0,47.9,274,35.8,207
"Union County, North Carolina",56957.0,62.9,113,46.5,80
"Union County, Ohio",37468.0,68.9,33,54.5,26
"Union County, Oregon",40609.0,44.7,15,41.7,15
"Union County, Pennsylvania",48693.0,57.6,30,36.8,20
"Union County, South Carolina",20403.0,94.2,36,67.7,26
"Union County, South Dakota",50021.0,80.2,14,44,8
"Union Parish, Louisiana",38723.0,78.9,24,73.6,22
"Upson County, Georgia",45966.0,87.8,31,56.5,20
"Utah County, Utah",74779.25,18.5,56,12.4,37
"Uvalde County, Texas",32444.0,38.1,12,32.7,10
"Valdez-Cordova Census Area, Alaska",38571.0,66.1,6,60.8,4
"Valencia County, New Mexico",33877.0,50.8,42,41.9,34
"Van Buren County, Arkansas",18751.0,65.1,19,57.5,17
"Van Buren County, Tennessee",29665.0,55.8,4,53,4
"Venango County, Pennsylvania",38312.75,74.7,60,56.5,46
"Ventura County, California",48204.0,41.5,344,30.3,250
"Vermilion County, Illinois",37693.5,86.4,92,64.8,70
"Vernon County, Missouri",29774.0,75.9,21,61.9,17
"Vernon County, Wisconsin",39657.0,55,23,43.5,19
"Vernon Parish, Louisiana",37674.0,91.7,39,72.1,30
"Vigo County, Indiana",39998.0,80.4,96,65,77
"Volusia County, Florida",61292.0,70.8,568,54.1,439
"Wabash County, Illinois",42943.0,91.6,15,59.7,10
"Wake County, North Carolina",93114.0,55.9,406,38.8,274
"Walker County, Alabama",39657.0,98.3,89,79.8,71
"Walker County, Georgia",28819.0,84.3,72,76.4,65
"Walla Walla County, Washington",46473.0,53.4,37,41.6,30
"Waller County, Texas",31814.5,53.7,21,36.9,15
"Wallowa County, Oregon",41197.5,46.3,6,35.5,4
"Walsh County, North Dakota",8188.0,56.7,10,42.8,8
"Walworth County, Wisconsin",57494.0,64,75,46.2,54
"Ward County, North Dakota",66325.0,64.6,41,44.2,29
"Ward County, Texas",32177.0,69.8,9,57.7,7
"Warren County, Indiana",40436.0,66,7,53.6,6
"Warren County, Kentucky",35052.0,91.3,100,65.5,70
"Warren County, New Jersey",52028.0,65.4,85,45.6,59
"Warren County, Pennsylvania",35978.0,59.9,38,48.3,31
"Warren County, Tennessee",46356.0,84.7,42,64.4,33
"Warrick County, Indiana",44952.0,66.7,47,46.7,32
"Wasatch County, Utah",84153.0,34.5,6,23.1,4
"Wasco County, Oregon",38926.5,74.1,26,51.7,18
"Washburn County, Wisconsin",57419.0,71.5,19,53.8,14
"Washington County, Alabama",48713.0,74.8,16,65.3,14
"Washington County, Arkansas",99636.0,67.1,119,52.7,91
"Washington County, Florida",26469.0,74.7,23,67.5,21
"Washington County, Georgia",46113.0,68.2,17,49.4,12
"Washington County, Idaho",27108.0,68.3,11,54.4,8
"Washington County, Illinois",56683.0,74.1,15,43.4,9
"Washington County, Iowa",42248.0,52.9,16,39.6,12
"Washington County, Kentucky",50497.0,80.5,12,60.6,9
"Washington County, Maryland",64680.5,71.8,126,53.5,94
"Washington County, Mississippi",16126.0,75.8,42,63,34
"Washington County, Missouri",26092.0,93,28,81.1,24
"Washington County, New York",39234.0,88.7,71,63.1,50
"Washington County, Ohio",28161.0,75.8,67,55.5,49
"Washington County, Oregon",67175.5,48,231,35.1,167
"Washington County, Pennsylvania",40252.5,68.2,201,51.8,156
"Washington County, Rhode Island",80369.0,64.8,104,45.9,74
"Washington County, Tennessee",41584.333333333336,71.6,110,55.3,84
"Washington County, Utah",51494.0,29.7,55,22.5,41
"Washington County, Wisconsin",62440.0,57.3,89,39.5,61
"Washington Parish, Louisiana",22330.0,92,53,67.4,39
"Waukesha County, Wisconsin",73210.0,54.6,262,39.8,191
"Wayne County, Illinois",38849.0,89.2,22,66.4,17
"Wayne County, Indiana",36324.5,85.2,77,65,58
"Wayne County, Michigan",60069.0,83,1634,57.7,1136
"Wayne County, Mississippi",22419.5,61.2,15,55.6,14
"Wayne County, New York",34819.25,72.8,84,54.1,62
"Wayne County, Ohio",74798.0,57,79,44.3,62
"Wayne County, West Virginia",31948.0,89.5,51,64.2,36
"Weakley County, Tennessee",27930.0,72.4,31,61.2,26
"Webster County, Iowa",53333.0,67.6,34,46,23
"Weld County, Colorado",66101.5,45.7,101,35.2,76
"Wells County, North Dakota",35054.0,40.6,4,45.7,4
"Westchester County, New York",137483.5,53.2,615,33.9,397
"Westmoreland County, Pennsylvania",45857.57142857143,70.5,387,48.5,271
"Whatcom County, Washington",63865.0,59.8,133,42.2,95
"Wheeler County, Texas",42089.0,54,4,59.1,4
"White County, Arkansas",33507.0,91.2,81,69.6,61
"White County, Illinois",34465.0,81.2,18,69.5,16
"Whiteside County, Illinois",57255.5,71.8,57,56.7,45
"Whitley County, Indiana",37091.0,63.8,26,52.1,21
"Wichita County, Texas",35333.0,74.9,106,55.8,79
"Wicomico County, Maryland",52552.0,79.4,87,59.7,65
"Wilkes County, North Carolina",29610.5,77.2,75,58.5,57
"Wilkinson County, Georgia",36614.0,79.9,11,56.9,8
"Will County, Illinois",45947.0,72,414,50.3,281
"Williams County, Ohio",34952.5,66,32,48.2,23
"Williamson County, Illinois",34643.0,97.5,85,69.5,60
"Williamson County, Tennessee",96484.0,46.6,77,36.5,60
"Williamson County, Texas",63938.25,50.9,178,35.5,122
"Wilson County, North Carolina",49010.0,71.2,71,55.8,55
"Wilson County, Tennessee",75879.0,76.5,98,55.3,68
"Windham County, Connecticut",51622.0,65,86,47.5,62
"Windsor County, Vermont",32557.333333333332,67.4,57,45.7,39
"Winnebago County, Illinois",50058.5,74,252,57.7,198
"Winnebago County, Wisconsin",66738.0,62.2,117,44.7,85
"Winneshiek County, Iowa",38036.0,36,10,22.2,7
"Wise County, Texas",54874.333333333336,63.1,41,55.2,35
"Wood County, Ohio",52207.0,53.3,73,45,61
"Wood County, West Virginia",44990.0,81.9,97,60.5,71
"Wood County, Wisconsin",56279.5,57.4,58,40.3,42
"Woodbury County, Iowa",59668.0,71.5,79,51.5,57
"Woodford County, Illinois",69256.0,61,29,45.8,22
"Woodruff County, Arkansas",23855.0,108.5,11,64.9,7
"Woods County, Oklahoma",64406.0,55.5,6,45.1,5
"Worcester County, Massachusetts",48120.0,69.8,616,50.1,439
"Worth County, Iowa",56756.0,45.3,5,30.7,4
"Wright County, Missouri",17140.0,83.4,21,69.4,18
"Wyoming County, West Virginia",29818.666666666668,90.3,27,80,24
"Yadkin County, North Carolina",36564.5,82.2,42,52.6,27
"Yakima County, Washington",53290.0,57.6,137,47.2,113
"Yankton County, South Dakota",41833.0,61.4,18,43.5,13
"Yavapai County, Arizona",36515.5,51.9,203,38.1,151
"Yellowstone County, Montana",29413.5,60.9,105,45,79
"York County, Nebraska",52399.25,36.8,7,28.2,5
"York County, Pennsylvania",54664.666666666664,67.2,353,46,240
"York County, South Carolina",39903.0,66.8,157,54,124
"Young County, Texas",36772.0,74.2,20,60.2,16
"Yuba County, California",46888.0,68.1,44,55.3,35
"Yuma County, Colorado",37453.0,62.5,8,40.3,5
