County,Median_Income_x,Age-Adjusted Incidence Rate,Average Annual Count,Age-Adjusted Death Rate,Average Deaths per Year
"Burlington County, New Jersey",96402.5,65.1,342,44.2,232
"Burt County, Nebraska",28596.0,66.2,7,58.7,6
"Butler County, Alabama",19757.0,58.3,17,52.6,15
"Butler County, Iowa",46512.0,45.4,10,35.4,8
"Butler County, Nebraska",39768.0,48,6,36.9,5
"Butler County, Ohio",40761.5,75,285,58.5,221
"Butler County, Pennsylvania",47966.0,61.4,143,48.9,114
"Butte County, California",49121.0,61.4,169,46,126
"Cache County, Utah",56817.5,15.8,12,9.2,7
"Caddo County, Oklahoma",31854.0,85.3,30,65.4,23
"Calaveras County, California",42435.5,52.3,41,40.2,31
"Calcasieu Parish, Louisiana",47114.0,68.4,145,58.1,121
"Caldwell County, Missouri",22126.0,89.3,11,75.2,10
"Caldwell County, North Carolina",40863.0,82.9,89,69.1,73
"Caldwell County, Texas",64150.0,65.1,26,45.9,18
"Caledonia County, Vermont",36526.0,74.8,29,57.2,23
"Calhoun County, Georgia",18746.0,63.4,4,50.2,4
"Calhoun County, Illinois",34447.0,81.4,6,47.8,4
"Calhoun County, Iowa",15361.0,54.6,9,40.4,7
"Calhoun County, Mississippi",28737.0,88.1,17,75.9,15
"Calumet County, Wisconsin",63944.333333333336,53.3,27,37.3,18
"Cambria County, Pennsylvania",44788.333333333336,56.7,119,43.7,95
"Camden County, Missouri",60833.0,68.6,51,47.4,35
"Camden County, New Jersey",80710.8,71.9,406,48.9,275
"Cameron County, Texas",31840.666666666668,38.4,143,24,89
"Campbell County, Kentucky",39698.0,94.5,93,67.3,65
"Cape May County, New Jersey",54566.4,83.5,136,54.9,90
"Carbon County, Montana",34031.0,35.8,6,21.3,4
"Carbon County, Pennsylvania",48751.5,72.7,68,53.4,50
"Carbon County, Utah",30799.5,51.1,12,34.5,8
"Carbon County, Wyoming",59769.5,58.4,10,41.6,7
"Carlisle County, Kentucky",22619.0,95.2,7,61.5,5
"Caroline County, Maryland",36225.0,75.1,28,56.7,22
"Carroll County, Georgia",41111.0,83.9,88,59,62
"Carroll County, Illinois",50854.0,54,14,47.4,12
"Carroll County, Indiana",38585.5,66.1,17,39.8,10
"Carroll County, Iowa",55578.0,60.8,18,44.4,14
"Carroll County, Kentucky",25323.0,120.7,15,69.9,9
"Carroll County, Missouri",34265.0,94.6,13,63.4,9
"Carroll County, New Hampshire",20910.0,65.8,53,42.9,35
